Item,Description,Brand,Packaging,Ship,Weight,Volume,Qty Break,Price
,,,,,,,300,24.59
11403328,Asian Best Jasmine Rice (25#) New Crop,Asian Best,1x25 LBS,BG,25.00,0.02,0,26.25
,,,,,,,50,25.99
,,,,,,,100,25.73
,,,,,,,300,25.07
11403350,Asian Best Jasmine Rice (50#),Asian Best,1x50 LBS,BG,50.00,0.03,0,50.50
,,,,,,,25,50.00
,,,,,,,50,49.49
,,,,,,,150,48.23
11403351,Asian Best Jasmine Rice (10#),Asian Best,5x10 LBS,BG,50.00,0.03,0,54.25
11403358,Asian Best Jasmine Rice (50#) New Crop,Asian Best,1x50 LBS,BG,50.00,0.03,0,51.50
,,,,,,,25,50.99
,,,,,,,50,50.47
,,,,,,,150,49.18
11403365,Asian Best Jasmine Rice (5#),Asian Best,6x5 LBS,CS,32.00,0.02,0,33.00
11403552,Flamenco Jasmine Rice(2#),Flamenco,15x2 LBS,CS,32.00,0.02,0,21.75
,,,,,,,72,21.50
11403565,Flamenco Jasmine Rice (5#),Flamenco,6x5 LBS,CS,32.00,0.02,0,21.25
,,,,,,,70,21.00
11403620,Jasmine Rice Thai Select (5#),Eastern,6x5 LBS,CS,31.00,0.02,0,21.75
11403625,Thai Select Jasmine Rice (25#),Eastern,1x25 LBS,BG,25.00,0.02,0,20.75
,,,,,,,10,20.13
,,,,,,,100,19.51
11403650,Thai Select Jasmine Rice (50#),Eastern,1x50 LBS,BG,50.00,0.04,0,40.50
,,,,,,,5,39.29
,,,,,,,50,38.07
11403651,Vera Jasmine Rice (5X10#),Vera,5x10 LBS,BG,50.00,0.03,0,53.25
,,,,,,,40,52.64
11403652,Vera Jasmine Rice (2#),Vera,15x2 LBS,CS,32.00,0.02,0,32.75
,,,,,,,70,32.46
11403665,Vera Jasmine Rice (6X5#),Vera,6x5 LBS,CS,32.00,0.02,0,32.25
,,,,,,,70,31.96
11403725,Sweet Rice Sanpathong (25#),Three Ring,1x25 LBS,BG,25.00,0.02,0,26.00
,,,,,,,100,25.51
11403750,Sweet Rice Sanpathong (50#),Three Ring,1x50 LBS,BG,50.00,0.03,0,51.00
,,,,,,,50,50.03
11403751,Sweet Rice Sanpatong (5X10#),Three Ring,5x10 LBS,BG,50.00,0.03,0,53.75
11403765,Sweet Rice Sanpatong (6X5#),Three Ring,6x5 LBS,CS,32.00,0.02,0,32.25
11403775,Black Sweet Rice (6X5#),Asian Best,6x5 LBS,CS,32.00,0.03,0,56.50
11403865,Brown Rice  (6X5#),Asian Best,6x5 LBS,CS,32.00,0.03,0,36.50
11403875,Red Rice (6X5#),Asian Best,6x5 LBS,CS,32.00,0.03,0,45.50
11403885,Riceberry Rice (6X5#),Asian Best,6x5 LBS,CS,32.00,0.02,0,50.50
,,,,,,,2,49.84
,,,,,,,5,49.49
,,,,,,,10,48.51
11403925,Rice Bit (25#),Asian Best,1x25 LBS,BG,25.00,0.02,0,21.75
,,,,,,,50,21.35
,,,,,,,100,20.95
11403965,Rice Bit (6X5#),Asian Best,6x5 LBS,CS,32.00,0.02,0,27.50
,,,,,,,70,27.12
11500230,Vietnamese Spring Roll Wrapper 22CM,Asian Best,30x17.6 OZ,CS,36.00,0.03,0,71.75
,,,,,,,3,71.00
,,,,,,,10,70.24
,,,,,,,50,68.74
11500232,Vietnamese Spring Roll Wrapper 25CM,Asian Best,30x17.6 OZ,CS,37.00,0.03,0,73.25
,,,,,,,3,72.52
,,,,,,,10,71.79
,,,,,,,40,70.25
11500250,Rice Vermicelli (Bun Gao),Asian Best,30x400 G,CS,28.00,0.04,0,44.75
,,,,,,,2,43.94
,,,,,,,10,43.14
11503410,Sweet Rice Flour,Asian Best,20x16 OZ,CS,22.00,0.02,0,32.75
,,,,,,,3,32.26
,,,,,,,10,31.77
,,,,,,,66,31.11
11503411,Rice Flour,Asian Best,20x16 OZ,CS,22.00,0.02,0,27.75
,,,,,,,3,27.33
,,,,,,,10,26.93
11503412,Tapioca Starch,Asian Best,20x16 OZ,CS,22.00,0.02,0,26.75
,,,,,,,3,26.35
,,,,,,,10,25.95
,,,,,,,66,25.41
11503413,Mung Bean Flour,Asian Best,20x16 OZ,CS,22.00,0.02,0,59.25
11503421,Tapioca Pearls White (S),Asian Best,20x16 OZ,CS,22.00,0.02,0,24.75
11503422,Tapioca Pearls Mix Colors (S),Asian Best,20x16 OZ,CS,22.00,0.02,0,27.75
11503423,Tapioca Pearls Green (S),Asian Best,20x16 OZ,CS,22.00,0.02,0,27.75
11503500,Peeled Split Mung Bean,Asian Best,50x14 OZ,CS,46.00,0.03,0,72.00
,,,,,,,2,71.35
11503501,Peeled Split Mung Bean (Premium),Asian Best,50x14 OZ,CS,46.00,0.03,0,72.00
,,,,,,,2,71.35
11503511,Mung Bean (Premium),Asian Best,50x14 OZ,CS,46.00,0.03,0,71.00
,,,,,,,2,70.36
11503521,Unpeeled Split Mung Bean (Premium),Asian Best,50x14 OZ,CS,46.00,0.03,0,71.00
,,,,,,,2,70.36
11503525,Black Bean,Asian Best,50x14 OZ,CS,46.00,0.03,0,88.50
,,,,,,,2,87.97
11503530,Job's Tears,Asian Best,50x14 OZ,CS,46.00,0.03,0,108.50
,,,,,,,2,107.74
11503702,Rice Stick 2mm (S),Asian Best,30x1 LB,CS,33.00,0.05,0,50.00
,,,,,,,5,49.15
,,,,,,,10,48.25
,,,,,,,40,47.40
11503703,Rice Stick 3mm (M),Asian Best,30x1 LB,CS,35.00,0.05,0,50.00
,,,,,,,5,49.15
,,,,,,,10,48.25
,,,,,,,40,47.40
11503705,Rice Stick 5mm (L),Asian Best,30x1 LB,CS,33.00,0.05,0,50.00
,,,,,,,5,49.15
,,,,,,,10,48.25
,,,,,,,40,47.40
11503710,Rice Sticks 10mm (XL),Asian Best,30x1 LB,CS,33.00,0.05,0,50.00
,,,,,,,5,49.15
,,,,,,,10,48.30
,,,,,,,32,47.50
11503712,Rice Vermicelli,Asian Best,24x1 LB,CS,26.00,0.06,0,49.50
,,,,,,,5,48.71
,,,,,,,32,47.92
11503728,Rice Flakes,Asian Best,30x8 OZ,CS,17.00,0.05,0,36.00
,,,,,,,5,35.21
11503902,3 Bundle Rice Stick (S),Asian Best,8x3 LBS,CS,28.00,0.05,0,0.00
11503903,3 Bundle Rice Stick (M),Asian Best,8x3 LBS,CS,28.00,0.05,0,0.00
11503905,3 Bundle Rice Stick (L),Asian Best,8x3 LBS,CS,28.00,0.05,0,0.00
11504010,Authentic Dried Noodle,Shogun,12x13.4 OZ,CS,13.00,0.04,0,28.00
,,,,,,,2,27.22
11504101,Rice Stick Noodles Size S (1 mm),Eastern,30x1 LB,CS,31.00,0.04,0,0.00
11504102,Rice Stick Noodles Size M (3 mm),Eastern,30x1 LB,CS,31.00,0.04,0,0.00
11504103,Rice Stick Noodles Size L (5 mm),Eastern,30x1 LB,CS,31.00,0.04,0,0.00
11607400,Durian Monthong Seedless -F-,Asian Best,16x16 OZ,CS,23.00,0.03,0,199.75
,,,,,,,2,197.45
11607402,Durian Monthong with Seeds -F-,Asian Best,16x16 OZ,CS,20.00,0.03,0,162.00
,,,,,,,2,160.70
11607410,Young Coconut Juice (Cocoking) -F-,Cocoking,24x280 ML,CS,18.00,0.02,0,47.00
11607412,Yg Coconut Water W/Coco Meat (Bag) -F-,Asian Best,60x10 OZ,CS,41.00,0.04,0,95.75
,,,,,,,10,94.41
11607414,Yg Coconut Juice/Shrd Coco Meat -F-,Asian Best,60x8 OZ,CS,35.00,0.03,0,76.25
,,,,,,,2,75.11
,,,,,,,5,74.57
,,,,,,,56,73.96
11607415,Young Coconut Juice (Cup)-F-,Asian Best,24x300 G,CS,18.00,0.02,0,46.00
11607416,Grated Coconut -F-,Asian Best,28x16 OZ,CS,30.00,0.03,0,87.00
11607417,Grated Coconut -F-,Asian Best,24x16 OZ,CS,26.00,0.03,0,75.00
11607418,Scraped Coconut -F-,Asian Best,36x8 OZ,CS,20.00,0.03,0,68.75
11607419,Scraped Coconut -F-,Asian Best,36x8 OZ,CS,20.00,0.03,0,67.25
11607420,Coconut Milk -F-,Asian Best,80x8 OZ,CS,45.00,0.04,0,133.25
11607426,Grated Cassava -F-,Asian Best,30x16 OZ,CS,32.00,0.03,0,77.25
11607428,Grated Cassava -F-,Asian Best,30x16 OZ,CS,32.00,0.03,0,72.25
11607502,Bai Ya Nang -F-,Asian Best,36x4 OZ,CS,12.00,0.03,0,53.50
11607504,Look Niang -F-,Asian Best,28x1 LB,CS,31.00,0.04,0,74.50
11607506,Cha-Om (Acasia Pennata) -F-,Asian Best,36x8 OZ,CS,21.00,0.04,0,86.50
11607508,SA-TOR (Parkia Speciosa) -F-,Asian Best,36x4 OZ,CS,10.50,0.01,0,75.25
11607514,Sadao/Margosa -F-,Asian Best,36x8 OZ,CS,22.00,0.05,0,66.25
11607524,Red Chilli -F-,Asian Best,60x4 OZ,CS,17.00,0.03,0,72.75
11607526,Fresh Thai Chili (8 OZ) -F-,Asian Best,30x8 OZ,CS,18.00,0.03,0,69.75
11607540,Pennywort Drink -F-,Asian Best,60x8 OZ,CS,35.00,0.03,0,62.75
11607600,Galanga (Whole) -F-,Asian Best,36x8 OZ,CS,20.00,0.03,0,52.75
11607601,Galanga Sliced (Spice) -F-,Asian Best,36x8 OZ,CS,20.60,0.03,0,54.00
11607602,Rhizome Whole (Spice) -F-,Asian Best,36x8 OZ,CS,20.60,0.04,0,73.50
11607603,Rhizome Sliced -F-,Asian Best,36x8 OZ,CS,23.00,0.04,0,80.50
11607610,Pandan Leaf -F-,Asian Best,36x4 OZ,CS,11.00,0.04,0,36.75
11607912,Fried Fish Cake -F-,Asian Best,16x7 OZ,CS,9.00,0.01,0,50.75
11607914,Fried Shrimp Cake -F-,Asian Best,16x7 OZ,CS,9.00,0.01,0,74.25
11607916,Chive Dumpling -F-,Asian Best,24x12.7 OZ,CS,22.00,0.03,0,69.75
11607920,Kao Tom Mud Banana  -F-,Food hut,30x11.28 OZ,CS,29.00,0.03,0,79.00
11607921,Kao Tum Mud Taro -F-,Food hut,30x11.28 OZ,CS,29.00,0.03,0,82.00
11607925,Sweet Rice & Mung Bean Dessert -F-,Asian Best,12x10.5 OZ,CS,12.00,0.03,0,68.50
11607926,Kao Neo Ping (Banana) -F-,Asian Best,24x8.5 OZ,CS,18.00,0.03,0,68.75
11607928,Kao Neo Ping (Taro) -F-,Asian Best,24x8.5 OZ,CS,18.00,0.03,0,71.75
11607930,Banana Dessert Dumpling (Premium) -F-,Asian Best,24x4 PC,CS,24.00,0.03,0,70.75
11607931,Taro Dessert Dumpling (Premium) -F-,Asian Best,24x4 PC,CS,24.00,0.03,0,73.75
11607932,Durian Dessert Dumpling (Premium) -F-,Asian Best,15x4 PC,CS,15.00,0.01,0,77.25
11607934,Mushroom Dumpling -F-,Asian Best,24x12.7 OZ,CS,22.00,0.03,0,76.75
11607935,Chive Cake (Square) -F-,Asian Best,24x15.86 OZ,CS,27.00,0.03,0,78.50
11607938,Fried Cuttlefish Cake -F-,Asian Best,16x7 OZ,CS,9.00,0.01,0,65.25
11607939,Coconut Pudding with Pandan -F-,Asian Best,30x7 OZ,CS,38.00,0.04,0,110.50
11607941,Coconut Pudding -F-,Asian Best,30x7 OZ,CS,38.00,0.04,0,109.50
11607950,Kanom Chun -F-,Asian Best,32x14 OZ,CS,31.00,0.03,0,65.50
11700400,Premium Rice Bran Oil 100% (0.5 L),Gamma One,12x16.9 FL.OZ,CS,14.00,0.01,0,27.00
,,,,,,,3,25.73
11700401,Premium Rice Bran Oil 100% (1 L),Gamma One,12x33.8 FL.OZ,CS,28.00,0.02,0,46.00
,,,,,,,3,44.76
11700402,Premium Rice Bran Oil 100% (2 L),Gamma One,6x67.6 FL.OZ,CS,26.00,0.02,0,42.50
,,,,,,,3,41.27
11700403,Premium Rice Bran Oil 100% (20 L),Gamma One,1x676 FL.OZ,CS,44.00,0.03,0,64.00
11707000,Fragrant Mango With Sticky Rice -F-,Asian Best,12x7 OZ,CS,7.00,0.01,0,29.50
11707001,Durian with Sticky Rice -F-,Asian Best,12x6.35 OZ,CS,7.00,0.01,0,30.00
11807200,Frozen Layang/ Mackeral Scad (Wild Caught) -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,63.00
11807201,Frozen Yellow Stripe Trevally (Wild Caught) -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,68.00
11807202,Frozen Big Eye Scad (Wild Caught) -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,65.50
11807203,Frozen Threadfin Bream Fish (Wild Caught) -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,71.50
11807204,Frozen Snakehead Murrel Whole -F-,Asian Best,1x22 LBS,CS,26.00,0.03,0,84.00
11807205,Frozen Barramundi/ White Snapper Whole -F-,Asian Best,1x22 LBS,CS,26.00,0.03,0,109.50
11807207,Farm Raised Red Tailed Tinfoil -F-,Asian Best,20x16 OZ,CS,22.00,0.03,0,0.00
11807208,Frozen Climbing Perch -F-,Asian Best,20x1 LB,CS,25.00,0.04,0,73.25
11807209,Farm Raised Black Tilapia -F-,Asian Best,1x23 LBS,CS,25.00,0.03,0,52.75
11807210,Wild Caught Yellowtail Scad -F-,Asian Best,20x1 LB,CS,25.00,0.03,0,73.75
11807211,Farm Raised Snakehead Murrel Steak -F-,Asian Best,20x1 LB,CS,25.00,0.04,0,92.25
11807212,Farm Raised Goby Fish -F-,Asian Best,20x1 LB,CS,24.00,0.03,0,98.00
11807213,Farm Raised Red Tilapia -F-,Asian Best,1x24 LBs,CS,27.00,0.03,0,80.00
11900010,Oyster Brand Fish Sauce,Oyster,12x700 ML,CS,36.00,0.03,0,28.25
,,,,,,,3,27.91
,,,,,,,10,27.57
,,,,,,,56,26.87
11900015,Oyster Brand Fish Sauce (Table),Oyster,24x200 ML,CS,25.00,0.02,0,23.25
11900020,Tips Fish Sauce (23 fl.oz) Plastic,Tips,12x23 FL.OZ,CS,24.00,0.02,0,18.50
,,,,,,,3,17.76
11900022,Tips Fish Sauce(25 FL.OZ) Plastic,Tips,12x25 FL.OZ,CS,25.00,0.02,0,18.75
,,,,,,,3,18.03
,,,,,,,10,17.31
11900025,Cacom Fish Sauce (25 FL.OZ) Plastic,Cacom,12x25 FL.OZ,CS,25.00,0.02,0,17.25
,,,,,,,3,16.92
11900030,Cacom Fish Sauce (25 FL.OZ) Glass,Cacom,12x25 FL.OZ,CS,35.00,0.02,0,20.75
11900050,Nam Hai Fish Sauce,Nam Hai,12x25.36 FL.OZ,CS,35.00,0.02,0,28.75
11900070,Sweet Soy Sauce,Soyking,12x21.30 FL.OZ,CS,32.00,0.02,0,31.00
11900071,Thin Soy Sauce,Soyking,12x21.30 FL.OZ,CS,30.00,0.02,0,26.00
11900072,Black Soy Sauce,Soyking,12x21.30 FL.OZ,CS,32.00,0.02,0,31.00
11900080,Fish Sauce (Cooking),La Mer Du Sud,12x25.36 FL.OZ,CS,38.00,0.03,0,29.25
11900081,Fish Sauce (Dipping),La Mer Du Sud,12x25.36 FL.OZ,CS,40.00,0.03,0,38.25
11900100,Pickled Mustard (Vac Bag),Asian Best,36x10 OZ,CS,26.00,0.02,0,29.50
,,,,,,,5,28.85
,,,,,,,10,27.52
12003104,Tempura Seaweed Original Japanese Style,Taokaenoi,12x40 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.86
12003105,Tempura Seaweed Smokes BBQ Flavour,Taokaenoi,12x40 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.86
12003106,Tempura Seaweed Spicy Flavour,Taokaenoi,12x40 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.86
12003110,Crispy Seaweed Original Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.86
12003111,Crispy Seaweed Wasabi Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.86
12003112,Crispy Seaweed Hot & Spicy Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.86
12003113,Crispy Seaweed Tom Yum Goong Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.86
12003114,Crispy Seaweed Sriracha Chilli Sauce Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.86
12003117,Crispy Seaweed Mala Flavour,Taokaenoi,12x32 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.86
12003130,Grilled Seaweed Super Crisp Classic Flavour,Taokaenoi,12x24 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.88
12003131,Grilled Seaweed Super Crisp Hot Chilli Squid Flavour,Taokaenoi,12x24 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.88
12003132,Grilled Seaweed Super Crisp Kim Chi Flavour,Taokaenoi,12x24 G,CS,2.00,0.02,0,21.50
,,,,,,,3,20.88
12003135,Grilled Seaweed Roll Classic Flavour,Taokaenoi,12x18 G,CS,3.00,0.02,0,21.50
12003137,Grilled Seaweed Roll Spicy Flavour,Taokaenoi,12x18 G,CS,3.00,0.02,0,21.50
12003139,Grilled Seaweed Roll BBQ Flavour,Taokaenoi,12x18 G,CS,2.00,0.02,0,21.50
12003140,Crispy Seaweed Original Flavour,Taokaenoi,6x59 G,CS,2.00,0.02,0,19.50
12003141,Crispy Seaweed Wasabi Flavour,Taokaenoi,6x59 G,CS,2.00,0.02,0,19.50
12003142,Crispy Seaweed Hot&Spicy Flavour,Taokaenoi,6x59 G,CS,2.00,0.02,0,19.50
12003143,Crispy Seaweed Tom Yum Goong Flavour,Taokaenoi,6x59 G,CS,2.00,0.02,0,19.50
12003170,Tempura Seaweed w/Sesame Classic Flavour,Taokaenoi,12x39 G,CS,2.00,0.02,0,21.50
12003171,Tempura Seaweed Mushroom & Black Pepper Flavour,Taokaenoi,12x40 G,CS,2.00,0.02,0,21.50
12003180,Furikake Crispy Seaweed with Original Sesame,Taokaenoi,24x60 G,CS,7.00,0.03,0,80.75
12100150,Sweet Chilli Sauce (L),Mae Sri,12x720 ML,CS,38.00,0.03,0,41.75
12100152,Sweet Chilli Sauce (S),Mae Sri,12x290 ML,CS,17.00,0.01,0,23.75
,,,,,,,2,22.16
,,,,,,,5,20.59
12100153,Spring Rolls Sauce (L),Mae Sri,12x720 ML,CS,38.00,0.03,0,44.25
12100154,Spring Rolls Sauce (S),Mae Sri,12x290 ML,CS,17.00,0.01,0,23.75
,,,,,,,2,22.16
,,,,,,,5,20.59
12100155,Suki Yaki Sauce (L),Mae Sri,12x720 ML,CS,34.00,0.03,0,55.25
12100156,Suki Yaki Sauce (S),Mae Sri,12x290 ML,CS,16.00,0.01,0,24.50
12100158,Seafood Sauce,Mae Sri,12x290 ML,CS,16.00,0.01,0,24.50
12100159,Spring Rolls Sauce (XL),Mae Sri,2x169 FL.OZ,CS,29.00,0.02,0,45.00
12100160,Sweet Chilli Sauce (XL),Mae Sri,2x169 FL.OZ,CS,31.00,0.02,0,45.00
12100200,Red Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,48.50
,,,,,,,10,47.87
,,,,,,,30,47.29
12100202,Green Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,48.50
,,,,,,,10,47.87
,,,,,,,30,47.29
12100204,Panang Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,48.50
,,,,,,,10,47.87
,,,,,,,30,47.29
12100206,Masaman Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,48.50
,,,,,,,10,47.87
,,,,,,,30,47.29
12100208,Karee Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,48.50
,,,,,,,10,47.87
,,,,,,,30,47.29
12100210,Yellow Sour Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,48.50
12100212,Sour Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,48.50
12100214,Thai Noodle Sauce (Namya),Mae Sri,48x4 OZ,CS,17.00,0.01,0,48.50
12100215,Kaeng Par Curry Paste,Mae Sri,48x4 OZ,CS,17.00,0.01,0,48.50
